,name,id,category,photoURL,ingredients
85,Darkwood Sling,14482,Soft Drink / Soda,https://www.thecocktaildb.com/images/media/drink/sxxsyq1472719303.jpg,"['Cherry Heering', 'Soda water', 'Orange juice', 'Ice']"
86,Dark Caipirinha,17177,Cocktail,https://www.thecocktaildb.com/images/media/drink/uwstrx1472406058.jpg,"['demerara Sugar', 'Lime', 'Cachaca']"
87,Duchamp's Punch,17182,Cocktail,https://www.thecocktaildb.com/images/media/drink/g51naw1485084685.jpg,"['Pisco', 'Lime Juice', 'Pineapple Syrup', 'St. Germain', 'Angostura Bitters', 'Pepper', 'Lavender']"
88,Dark and Stormy,17211,Ordinary Drink,https://www.thecocktaildb.com/images/media/drink/t1tn0s1504374905.jpg,"['Dark Rum', 'Ginger Beer']"
89,Damned if you do,13194,Shot,https://www.thecocktaildb.com/images/media/drink/ql7bmx1503565106.jpg,"['Whiskey', 'Hot Damn']"
90,Dubonnet Cocktail,11326,Ordinary Drink,https://www.thecocktaildb.com/images/media/drink/pfz3hz1582483111.jpg,"['Dubonnet Rouge', 'Gin', 'Bitters', 'Lemon peel']"
91,Drinking Chocolate,12736,Cocoa,https://www.thecocktaildb.com/images/media/drink/u6jrdf1487603173.jpg,"['Heavy cream', 'Milk', 'Cinnamon', 'Vanilla', 'Chocolate', 'Whipped cream']"
92,Death in the Afternoon,178334,Cocktail,https://www.thecocktaildb.com/images/media/drink/y7s3rh1598719574.jpg,"['Absinthe', 'Champagne']"
93,Egg Cream,12668,Other/Unknown,https://www.thecocktaildb.com/images/media/drink/mvis731484430445.jpg,"['Chocolate syrup', 'Milk', 'Soda water']"
94,Egg Nog #4,12910,Punch / Party Drink,https://www.thecocktaildb.com/images/media/drink/wpspsy1468875747.jpg,"['Egg yolk', 'Sugar', 'Milk', 'Light rum', 'Bourbon', 'Vanilla extract', 'Salt', 'Whipping cream', 'Egg white', 'Sugar', 'Nutmeg']"
95,English Highball,11338,Ordinary Drink,https://www.thecocktaildb.com/images/media/drink/dhvr7d1504519752.jpg,"['Brandy', 'Gin', 'Sweet Vermouth', 'Carbonated water', 'Lemon peel']"
96,Espresso Martini,17212,Cocktail,https://www.thecocktaildb.com/images/media/drink/n0sx531504372951.jpg,"['Vodka', 'Kahlua', 'Sugar syrup']"
97,Espresso Rumtini,178309,Cocktail,https://www.thecocktaildb.com/images/media/drink/acvf171561574403.jpg,"['Rum', 'Vanilla syrup', 'Espresso', 'Coffee']"
98,Egg Nog - Healthy,12916,Punch / Party Drink,https://www.thecocktaildb.com/images/media/drink/qxuppv1468875308.jpg,"['Egg', 'Sugar', 'Condensed milk', 'Milk', 'Vanilla extract', 'Rum', 'Nutmeg']"
99,English Rose Cocktail,11339,Ordinary Drink,https://www.thecocktaildb.com/images/media/drink/yxwrpp1441208697.jpg,"['Apricot brandy', 'Gin', 'Dry Vermouth', 'Grenadine', 'Lemon juice', 'Cherry']"
100,Elderflower Caipirinha,178346,Cocktail,https://www.thecocktaildb.com/images/media/drink/dif7a31614006331.jpg,"['Cachaca', 'Lime', 'Elderflower cordial']"
101,Egg-Nog - Classic Cooked,12914,Punch / Party Drink,https://www.thecocktaildb.com/images/media/drink/quxsvt1468875505.jpg,"['Egg', 'Sugar', 'Salt', 'Milk', 'Vanilla extract']"
102,Empellón Cocina's Fat-Washed Mezcal,17246,Cocktail,https://www.thecocktaildb.com/images/media/drink/osgvxt1513595509.jpg,"['Mezcal', 'Chocolate liqueur', 'Coffee liqueur']"
103,Frosé,178352,Cocktail,https://www.thecocktaildb.com/images/media/drink/b4cadp1619695347.jpg,"['Rose', 'Sugar', 'Strawberries', 'Lemon Juice']"
104,Frappé,12768,Coffee / Tea,https://www.thecocktaildb.com/images/media/drink/vqwryq1441245927.jpg,"['Coffee', 'Milk', 'Sugar']"
105,Foxy Lady,11375,Ordinary Drink,https://www.thecocktaildb.com/images/media/drink/r9cz3q1504519844.jpg,"['Amaretto', 'Creme de Cacao', 'Light cream']"
106,French 75,17197,Ordinary Drink,https://www.thecocktaildb.com/images/media/drink/hrxfbl1606773109.jpg,"['Gin', 'Sugar', 'Lemon juice', 'Champagne', 'Orange', 'Maraschino cherry']"
107,Frisco Sour,11382,Ordinary Drink,https://www.thecocktaildb.com/images/media/drink/acuvjz1582482022.jpg,"['Blended whiskey', 'Benedictine', 'Lemon', 'Lime', 'Lemon', 'Lime']"
108,Fruit Shake,12674,Other/Unknown,https://www.thecocktaildb.com/images/media/drink/q0fg2m1484430704.jpg,"['Yoghurt', 'Banana', 'Orange juice', 'Fruit', 'Ice']"
109,Figgy Thyme,178344,Cocktail,https://www.thecocktaildb.com/images/media/drink/pbw4e51606766578.jpg,"['Vodka', 'Honey', 'Figs', 'Thyme', 'Angostura Bitters', 'Tonic Water']"
110,Fruit Cooler,12670,Other/Unknown,https://www.thecocktaildb.com/images/media/drink/i3tfn31484430499.jpg,"['Apple juice', 'Strawberries', 'Sugar', 'Lemon', 'Apple', 'Soda water', 'Ice']"
111,Freddy Kruger,14688,Shot,https://www.thecocktaildb.com/images/media/drink/tuppuq1461866798.jpg,"['Jägermeister', 'Sambuca', 'Vodka']"
112,Fuzzy Asshole,15743,Coffee / Tea,https://www.thecocktaildb.com/images/media/drink/wrvpuu1472667898.jpg,"['Coffee', 'Peach schnapps']"
113,Funk and Soul,178328,Cocktail,https://www.thecocktaildb.com/images/media/drink/qtv83q1596015790.jpg,"['Rum', 'Apricot Nectar', 'Pomegranate juice', 'lemon', 'Soda Water']"
114,French Martini,17213,Cocktail,https://www.thecocktaildb.com/images/media/drink/clth721504373134.jpg,"['Vodka', 'Raspberry Liqueur', 'pineapple juice']"
115,French Negroni,17248,Cocktail,https://www.thecocktaildb.com/images/media/drink/x8lhp41513703167.jpg,"['Gin', 'Lillet', 'Sweet Vermouth', 'Orange Peel']"
116,Flying Dutchman,11368,Ordinary Drink,https://www.thecocktaildb.com/images/media/drink/mwko4q1582482903.jpg,"['Gin', 'Triple sec']"
117,Frozen Daiquiri,11387,Ordinary Drink,https://www.thecocktaildb.com/images/media/drink/7oyrj91504884412.jpg,"['Light rum', 'Triple sec', 'Lime juice', 'Sugar', 'Cherry', 'Ice']"
118,Fruit Flip-Flop,12672,Other/Unknown,https://www.thecocktaildb.com/images/media/drink/nfdx6p1484430633.jpg,"['Yoghurt', 'Fruit juice']"
119,Fahrenheit 5000,13070,Shot,https://www.thecocktaildb.com/images/media/drink/tysssx1473344692.jpg,"['Firewater', 'Absolut Peppar', 'Tabasco sauce']"
120,Flying Scotchman,11369,Ordinary Drink,https://www.thecocktaildb.com/images/media/drink/q53l911582482518.jpg,"['Scotch', 'Sweet Vermouth', 'Bitters', 'Sugar syrup']"
121,French Connection,17198,Ordinary Drink,https://www.thecocktaildb.com/images/media/drink/zaqa381504368758.jpg,"['Cognac', 'Amaretto']"
122,Flaming Dr. Pepper,13202,Shot,https://www.thecocktaildb.com/images/media/drink/d30z931503565384.jpg,"['Amaretto', 'Vodka', '151 proof rum', 'Dr. Pepper', 'Beer']"
123,Flander's Flake-Out,13675,Ordinary Drink,https://www.thecocktaildb.com/images/media/drink/sqvqrx1461866705.jpg,"['Sambuca', 'Sarsaparilla']"
124,Flaming Lamborghini,16485,Cocktail,https://www.thecocktaildb.com/images/media/drink/yywpss1461866587.jpg,"['Kahlua', 'Sambuca', 'Blue Curacao', 'Baileys irish cream']"
125,Frozen Mint Daiquiri,11390,Ordinary Drink,https://www.thecocktaildb.com/images/media/drink/jrhn1q1504884469.jpg,"['Light rum', 'Lime juice', 'Mint', 'Sugar']"
126,Frozen Pineapple Daiquiri,11391,Ordinary Drink,https://www.thecocktaildb.com/images/media/drink/k3aecd1582481679.jpg,"['Light rum', 'Pineapple', 'Lime juice', 'Sugar']"
127,GG,15997,Ordinary Drink,https://www.thecocktaildb.com/images/media/drink/vyxwut1468875960.jpg,"['Galliano', 'Ginger ale', 'Ice']"
128,Gimlet,17255,Cocktail,https://www.thecocktaildb.com/images/media/drink/3xgldt1513707271.jpg,"['Gin', 'Lime Juice', 'Sugar Syrup', 'Lime']"
129,Gin Fizz,11410,Ordinary Drink,https://www.thecocktaildb.com/images/media/drink/drtihp1606768397.jpg,"['Gin', 'Lemon', 'Powdered sugar', 'Carbonated water']"
130,Gin Sour,11417,Ordinary Drink,https://www.thecocktaildb.com/images/media/drink/noxp7e1606769224.jpg,"['Gin', 'Lemon juice', 'Sugar', 'Orange', 'Maraschino cherry']"
131,Godchild,11422,Ordinary Drink,https://www.thecocktaildb.com/images/media/drink/m5nhtr1504820829.jpg,"['Vodka', 'Amaretto', 'Heavy cream']"
132,Gin Daisy,11408,Ordinary Drink,https://www.thecocktaildb.com/images/media/drink/z6e22f1582581155.jpg,"['Gin', 'Lemon juice', 'Sugar', 'Grenadine', 'Maraschino cherry', 'Orange']"
133,Gin Sling,11415,Ordinary Drink,https://www.thecocktaildb.com/images/media/drink/8cl9sm1582581761.jpg,"['Gin', 'Lemon', 'Powdered sugar', 'Water', 'Orange peel']"
134,Gin Smash,11416,Ordinary Drink,https://www.thecocktaildb.com/images/media/drink/iprva61606768774.jpg,"['Gin', 'Carbonated water', 'Sugar', 'Mint', 'Orange', 'Cherry']"
135,Gin Toddy,11420,Ordinary Drink,https://www.thecocktaildb.com/images/media/drink/jxstwf1582582101.jpg,"['Gin', 'Water', 'Powdered sugar', 'Lemon peel']"
136,Godfather,11423,Ordinary Drink,https://www.thecocktaildb.com/images/media/drink/e5zgao1582582378.jpg,"['Scotch', 'Amaretto']"
137,Godmother,11424,Ordinary Drink,https://www.thecocktaildb.com/images/media/drink/quksqg1582582597.jpg,"['Vodka', 'Amaretto']"
138,Gagliardo,12758,Cocktail,https://www.thecocktaildb.com/images/media/drink/lyloe91487602877.jpg,"['Peach Vodka', 'Lemon juice', 'Galliano', 'Sirup of roses']"
139,Gluehwein,12944,Punch / Party Drink,https://www.thecocktaildb.com/images/media/drink/vuxwvt1468875418.jpg,"['Red wine', 'Water', 'Sugar', 'Cinnamon', 'Cloves', 'Lemon peel']"
140,Greyhound,17252,Cocktail,https://www.thecocktaildb.com/images/media/drink/g5upn41513706732.jpg,"['Vodka', 'Grapefruit Juice']"
141,Gin Cooler,11407,Ordinary Drink,https://www.thecocktaildb.com/images/media/drink/678xt11582481163.jpg,"['Gin', 'Carbonated water', 'Powdered sugar', 'Orange spiral', 'Lemon peel']"
142,Gin Squirt,11418,Ordinary Drink,https://www.thecocktaildb.com/images/media/drink/xrbhz61504883702.jpg,"['Gin', 'Grenadine', 'Powdered sugar', 'Pineapple', 'Strawberries', 'Carbonated water']"
143,Grand Blue,15427,Ordinary Drink,https://www.thecocktaildb.com/images/media/drink/vsrsqu1472761749.jpg,"['Malibu rum', 'Peach schnapps', 'Blue Curacao', 'Sweet and sour']"
144,Gin Rickey,17230,Cocktail,https://www.thecocktaildb.com/images/media/drink/s00d6f1504883945.jpg,"['Gin', 'Grenadine', 'lemon', 'Soda Water', 'Lime']"
145,Gin Swizzle,11419,Ordinary Drink,https://www.thecocktaildb.com/images/media/drink/sybce31504884026.jpg,"['Lime juice', 'Sugar', 'Gin', 'Bitters', 'Club soda']"
146,Grass Skirt,11433,Ordinary Drink,https://www.thecocktaildb.com/images/media/drink/qyvprp1473891585.jpg,"['Gin', 'Triple sec', 'Pineapple juice', 'Grenadine', 'Pineapple']"
147,Grim Reaper,14642,Ordinary Drink,https://www.thecocktaildb.com/images/media/drink/kztu161504883192.jpg,"['Kahlua', '151 proof rum', 'Grenadine']"
148,Grasshopper,17200,Ordinary Drink,https://www.thecocktaildb.com/images/media/drink/aqm9el1504369613.jpg,"['Green Creme de Menthe', 'Creme de Cacao', 'Light cream']"
149,Grizzly Bear,12762,Ordinary Drink,https://www.thecocktaildb.com/images/media/drink/k6v97f1487602550.jpg,"['Amaretto', 'Jägermeister', 'Kahlua', 'Milk']"
150,Green Goblin,13497,Beer,https://www.thecocktaildb.com/images/media/drink/qxprxr1454511520.jpg,"['Cider', 'Lager', 'Blue Curacao']"
151,Golden dream,17199,Ordinary Drink,https://www.thecocktaildb.com/images/media/drink/qrot6j1504369425.jpg,"['Galliano', 'Triple Sec', 'orange juice', 'Cream']"
152,H.D.,16262,Coffee / Tea,https://www.thecocktaildb.com/images/media/drink/upusyu1472667977.jpg,"['Whisky', 'Baileys irish cream', 'Coffee']"
153,Honey Bee,178316,Cocktail,https://www.thecocktaildb.com/images/media/drink/vu8l7t1582475673.jpg,"['White Rum', 'Honey', 'Lemon Juice']"
154,Hot Toddy,178345,Cocktail,https://www.thecocktaildb.com/images/media/drink/ggx0lv1613942306.jpg,"['Whiskey', 'Honey', 'Cinnamon', 'lemon', 'Cloves']"
155,Herbal flame,15813,Coffee / Tea,https://www.thecocktaildb.com/images/media/drink/rrstxv1441246184.jpg,"['Hot Damn', 'Tea']"
156,Horse's Neck,17202,Ordinary Drink,https://www.thecocktaildb.com/images/media/drink/006k4e1504370092.jpg,"['Lemon peel', 'Brandy', 'Ginger ale', 'Bitters']"
157,Happy Skipper,12766,Ordinary Drink,https://www.thecocktaildb.com/images/media/drink/42w2g41487602448.jpg,"['Spiced rum', 'Ginger ale', 'Lime', 'Ice']"
158,Hunter's Moon,17239,Cocktail,https://www.thecocktaildb.com/images/media/drink/t0iugg1509556712.jpg,"['Vermouth', 'Maraschino Cherry', 'Sugar Syrup', 'Lemonade', 'Blackberries']"
159,Havana Cocktail,11470,Ordinary Drink,https://www.thecocktaildb.com/images/media/drink/59splc1504882899.jpg,"['Light rum', 'Pineapple juice', 'Lemon juice']"
160,Holloween Punch,12954,Punch / Party Drink,https://www.thecocktaildb.com/images/media/drink/lfeoe41504888925.jpg,"['Grape juice', 'Carbonated soft drink', 'Sherbet', 'Sherbet']"
161,Hot Creamy Bush,14782,Coffee / Tea,https://www.thecocktaildb.com/images/media/drink/spvrtp1472668037.jpg,"['Irish whiskey', 'Baileys irish cream', 'Coffee']"
162,Homemade Kahlua,17044,Homemade Liqueur,https://www.thecocktaildb.com/images/media/drink/uwtsst1441254025.jpg,"['Sugar', 'Corn syrup', 'Coffee', 'Vanilla extract', 'Water', 'Vodka']"
163,Halloween Punch,178313,Punch / Party Drink,https://www.thecocktaildb.com/images/media/drink/7hcgyj1571687671.jpg,"['Cherry Juice', 'Orange Peel', 'Red Chili Flakes', 'Cloves', 'Ginger', 'Vodka']"
164,Harvey Wallbanger,11462,Ordinary Drink,https://www.thecocktaildb.com/images/media/drink/7os4gs1606854357.jpg,"['Vodka', 'Galliano', 'Orange juice']"
165,Hawaiian Cocktail,11472,Ordinary Drink,https://www.thecocktaildb.com/images/media/drink/ujoh9x1504882987.jpg,"['Gin', 'Triple sec', 'Pineapple juice']"
166,Hemingway Special,17201,Ordinary Drink,https://www.thecocktaildb.com/images/media/drink/jfcvps1504369888.jpg,"['Rum', 'Grapefruit Juice', 'Maraschino Liqueur', 'Lime Juice']"
167,Highland Fling Cocktail,11476,Ordinary Drink,https://www.thecocktaildb.com/images/media/drink/0bkwca1492975553.jpg,"['Scotch', 'Sweet Vermouth', 'Orange bitters', 'Olive']"
168,Hot Chocolate to Die for,12738,Cocoa,https://www.thecocktaildb.com/images/media/drink/0lrmjp1487603166.jpg,"['Chocolate', 'Butter', 'Vanilla extract', 'Half-and-half', 'Marshmallows']"
169,Ipamena,17176,Ordinary Drink,https://www.thecocktaildb.com/images/media/drink/yswuwp1469090992.jpg,"['Lime', 'Brown sugar', 'Passion fruit juice', 'Ginger ale', 'Ice']"
170,Ice Pick,13539,Ordinary Drink,https://www.thecocktaildb.com/images/media/drink/ypsrqp1469091726.jpg,"['Vodka', 'Iced tea', 'Lemon juice']"
171,Iced Coffee,12770,Coffee / Tea,https://www.thecocktaildb.com/images/media/drink/ytprxy1454513855.jpg,"['Coffee', 'Sugar', 'Water', 'Milk']"
172,Irish Cream,12820,Homemade Liqueur,https://www.thecocktaildb.com/images/media/drink/90etyl1504884699.jpg,"['Scotch', 'Half-and-half', 'Condensed milk', 'Coconut syrup', 'Chocolate syrup']"
173,Irish Spring,11528,Ordinary Drink,https://www.thecocktaildb.com/images/media/drink/sot8v41504884783.jpg,"['Irish whiskey', 'Peach brandy', 'Orange juice', 'Sweet and sour', 'Orange', 'Cherry']"
174,Irish Coffee,13971,Coffee / Tea,https://www.thecocktaildb.com/images/media/drink/sywsqw1439906999.jpg,"['Irish whiskey', 'Coffee', 'Sugar', 'Whipped cream']"
175,Imperial Fizz,11524,Ordinary Drink,https://www.thecocktaildb.com/images/media/drink/zj1usl1504884548.jpg,"['Light rum', 'Blended whiskey', 'Lemon', 'Powdered sugar', 'Carbonated water']"
176,Irish Russian,17015,Beer,https://www.thecocktaildb.com/images/media/drink/swqurw1454512730.jpg,"['Vodka', 'Kahlua', 'Coca-Cola', 'Guinness stout']"
177,Imperial Cocktail,12706,Cocktail,https://www.thecocktaildb.com/images/media/drink/bcsj2e1487603625.jpg,"['Lime juice', 'Gin', 'Aperol']"
178,Iced Coffee Fillip,12772,Coffee / Tea,https://www.thecocktaildb.com/images/media/drink/sxtxrp1454514223.jpg,"['Kahlua', 'Coffee']"
179,Irish Curdling Cow,16987,Cocktail,https://www.thecocktaildb.com/images/media/drink/yrhutv1503563730.jpg,"['Baileys irish cream', 'Bourbon', 'Vodka', 'Orange juice']"
180,Jitterbug,16178,Cocktail,https://www.thecocktaildb.com/images/media/drink/wwqvrq1441245318.jpg,"['Gin', 'Vodka', 'Grenadine', 'Lime juice', 'Sugar', 'Sugar syrup', 'Soda water']"
181,Jam Donut,17178,Shot,https://www.thecocktaildb.com/images/media/drink/uuytrp1474039804.jpg,"['Baileys irish cream', 'Chambord raspberry liqueur', 'Sugar syrup', 'Sugar']"
182,Jelly Bean,13775,Shot,https://www.thecocktaildb.com/images/media/drink/bglc6y1504388797.jpg,"['Blackberry brandy', 'Anis']"
183,Jackhammer,13847,Ordinary Drink,https://www.thecocktaildb.com/images/media/drink/9von5j1504388896.jpg,"['Jack Daniels', 'Amaretto']"
184,Jello shots,14956,Shot,https://www.thecocktaildb.com/images/media/drink/l0smzo1504884904.jpg,"['Vodka', 'Jello', 'Water']"
185,John Collins,11580,Ordinary Drink,https://www.thecocktaildb.com/images/media/drink/0t4bv71606854479.jpg,"['Bourbon', 'Lemon juice', 'Sugar', 'Club soda', 'Maraschino cherry', 'Orange']"
186,Jamaica Kiss,14095,Milk / Float / Shake,https://www.thecocktaildb.com/images/media/drink/urpvvv1441249549.jpg,"['Coffee liqueur', 'Light rum', 'Ice', 'Milk']"
187,Japanese Fizz,11558,Ordinary Drink,https://www.thecocktaildb.com/images/media/drink/37vzv11504884831.jpg,"['Blended whiskey', 'Lemon', 'Powdered sugar', 'Port', 'Egg white', 'Carbonated water']"
188,Just a Moonmint,12688,Milk / Float / Shake,https://www.thecocktaildb.com/images/media/drink/znald61487604035.jpg,"['Milk', 'Chocolate syrup', 'Mint syrup']"
189,Jamaican Coffee,15825,Coffee / Tea,https://www.thecocktaildb.com/images/media/drink/xqptps1441247257.jpg,"['Rum', 'Coffee', 'Water', 'Whipped cream']"
190,Jewel Of The Nile,11566,Ordinary Drink,https://www.thecocktaildb.com/images/media/drink/hx4nrb1504884947.jpg,"['Gin', 'Green Chartreuse', 'Yellow Chartreuse']"
191,Jack Rose Cocktail,11542,Ordinary Drink,https://www.thecocktaildb.com/images/media/drink/uuqqrv1439907068.jpg,"['Apple brandy', 'Grenadine', 'Lime']"
192,Jack's Vanilla Coke,16275,Other/Unknown,https://www.thecocktaildb.com/images/media/drink/kjnt7z1504793319.jpg,"['Ice', 'Tennessee whiskey', 'Vanilla extract', 'Coca-Cola']"
193,Kir,17203,Ordinary Drink,https://www.thecocktaildb.com/images/media/drink/apneom1504370294.jpg,"['Creme de Cassis', 'Champagne']"
194,Karsk,12764,Ordinary Drink,https://www.thecocktaildb.com/images/media/drink/808mxk1487602471.jpg,"['Coffee', 'Grain alcohol']"
195,Kamikaze,11600,Ordinary Drink,https://www.thecocktaildb.com/images/media/drink/d7ff7u1606855412.jpg,"['Vodka', 'Triple sec', 'Lime juice']"
196,Kir Royale,13837,Ordinary Drink,https://www.thecocktaildb.com/images/media/drink/yt9i7n1504370388.jpg,"['Creme de Cassis', 'Champagne']"
197,Kurant Tea,14456,Coffee / Tea,https://www.thecocktaildb.com/images/media/drink/xrsrpr1441247464.jpg,"['Absolut Kurant', 'Tea', 'Sugar']"
198,Kiwi Lemon,14752,Ordinary Drink,https://www.thecocktaildb.com/images/media/drink/tpupvr1478251697.jpg,"['Kiwi liqueur', 'Bitter lemon', 'Ice']"
199,Kioki Coffee,16951,Coffee / Tea,https://www.thecocktaildb.com/images/media/drink/uppqty1441247374.jpg,"['Kahlua', 'Brandy', 'Coffee']"
200,Kool-Aid Shot,13190,Shot,https://www.thecocktaildb.com/images/media/drink/fegm621503564966.jpg,"['Vodka', 'Amaretto', 'Sloe gin', 'Triple sec', 'Cranberry juice']"
